Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,Actual_Mbps,Is_Congested,State,Environment,RSSI_Score_0_100,GA_Normalized_RTT,GA_Normalized_UTIL,GA_Congestion_Score_0_100,GA_Hybrid_Score_0_100,APQI_raw,APQI_Qualified,APQI_Score_0_100
CONGESTED_OPEN2_R1,4,-52,1201.0,32,7,0.0,79.3099,60.8244,140.1343,False,정상,RSSI 양호·혼잡 환경,84.90566037735849,0.9642857142857143,0.6896551724137931,84.92005452699468,84.90566037735849,4.968394573209298,True,68.93706772020865
CONGESTED_OPEN2_R1,5,-47,1201.0,58,13,0.0,95.6088,29.7174,125.3262,True,혼잡,RSSI 양호·혼잡 환경,94.33962264150944,0.9214285714285715,0.3908045977011494,69.90681985290482,69.90681985290482,4.789446566091515,True,66.0077002516622
CONGESTED_OPEN2_R1,6,-51,1201.0,72,10,0.0,69.254,68.2485,137.5025,True,혼잡,RSSI 양호·혼잡 환경,86.79245283018868,0.9428571428571428,0.22988505747126442,64.40829701417691,64.40829701417691,4.501323568988056,True,61.29114515697792
CONGESTED_OPEN2_R1,7,-50,1201.0,58,11,0.0,68.8051,61.0996,129.9047,True,혼잡,RSSI 양호·혼잡 환경,88.67924528301887,0.9357142857142857,0.3908045977011494,70.73674197179781,70.73674197179781,4.706398363719331,True,64.64820647316924
CONGESTED_OPEN2_R1,8,-52,1201.0,61,13,0.0,27.6317,42.8955,70.5272,True,혼잡,RSSI 양호·혼잡 환경,84.90566037735849,0.9214285714285715,0.3563218390804598,68.46180427781894,68.46180427781894,4.536256748221076,True,61.86299907402522
CONGESTED_OPEN2_R1,9,-51,1201.0,88,13,0.0,55.9859,68.4746,124.4605,True,혼잡,RSSI 양호·혼잡 환경,86.79245283018868,0.9214285714285715,0.04597701149425293,55.45666410204612,55.45666410204612,4.227237536422471,False,0.0
CONGESTED_OPEN2_R1,10,-53,1201.0,41,12,0.0,56.3745,26.7409,83.1154,False,정상,RSSI 양호·혼잡 환경,83.01886792452831,0.9285714285714286,0.5862068965517242,78.51020250450458,83.01886792452831,4.752302260321171,True,65.39965033415868
CONGESTED_OPEN2_R1,11,-51,1201.0,63,26,0.0,38.0172,54.2057,92.22290000000001,True,혼잡,RSSI 양호·혼잡 환경,86.79245283018868,0.8285714285714285,0.33333333333333337,62.10396678829054,62.10396678829054,4.449776108479474,True,60.44731651461347
CONGESTED_OPEN2_R1,12,-49,1201.0,41,26,0.0,50.8157,25.9518,76.7675,True,혼잡,RSSI 양호·혼잡 환경,90.56603773584906,0.8285714285714285,0.5862068965517242,72.70074767225358,72.70074767225358,4.986394380757764,True,69.23172342228567
CONGESTED_OPEN2_R1,13,-50,1201.0,60,7,0.0,47.5341,58.6451,106.17920000000001,True,혼잡,RSSI 양호·혼잡 환경,88.67924528301887,0.9642857142857143,0.367816091954023,71.43324249285989,71.43324249285989,4.677378151848697,True,64.17314745489135
